Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Image 3 Url,Product Image 4 Url,Product Image 5 Url
,fendi-frameless-sunglasses,Fendi 2025 Frameless Sunglasses,,"$54 Fendi 2025 New Style, Absolutely Gorgeous F Diamond, Metal Square Frameless Sunglasses, Sun Protection, Slimming Effect, Anti-UV, Unisex. FE4082US",published,http://localhost:9000/static/products/fendi-frameless-sunglasses/1.jpg,,,,,,,,,,,,TRUE,,,Fendi 2025 Frameless Sunglasses - One Size,FENDI-FRAMELESS-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,54.00,Size,One Size,http://localhost:9000/static/products/fendi-frameless-sunglasses/1.jpg,http://localhost:9000/static/products/fendi-frameless-sunglasses/2.jpg,http://localhost:9000/static/products/fendi-frameless-sunglasses/3.jpg,http://localhost:9000/static/products/fendi-frameless-sunglasses/4.jpg,http://localhost:9000/static/products/fendi-frameless-sunglasses/5.jpg
,cartier-anti-blue-glasses,Cartier Anti-Blue Light Glasses,,$55 Cartier 2024 New Frameless Fashion Anti-Blue Light High-Definition Ultra-light Stylish Young Portable Glasses,published,http://localhost:9000/static/products/cartier-anti-blue-glasses/1.jpg,,,,,,,,,,,,TRUE,,,Cartier Anti-Blue Light Glasses - One Size,CARTIER-ANTI-BLUE-GLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,55.00,Size,One Size,http://localhost:9000/static/products/cartier-anti-blue-glasses/1.jpg,http://localhost:9000/static/products/cartier-anti-blue-glasses/2.jpg,http://localhost:9000/static/products/cartier-anti-blue-glasses/3.jpg,http://localhost:9000/static/products/cartier-anti-blue-glasses/4.jpg,http://localhost:9000/static/products/cartier-anti-blue-glasses/5.jpg
,ferragamo-fd8131-sunglasses,Salvatore Ferragamo FD8131 Sunglasses,,$58 Salvatore Ferragamo MODEL FD8131 SIZE 53-22-145,published,http://localhost:9000/static/products/ferragamo-fd8131-sunglasses/1.jpg,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo FD8131 Sunglasses - One Size,FERRAGAMO-FD8131-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,58.00,Size,One Size,http://localhost:9000/static/products/ferragamo-fd8131-sunglasses/1.jpg,http://localhost:9000/static/products/ferragamo-fd8131-sunglasses/2.jpg,http://localhost:9000/static/products/ferragamo-fd8131-sunglasses/3.jpg,http://localhost:9000/static/products/ferragamo-fd8131-sunglasses/4.jpg,http://localhost:9000/static/products/ferragamo-fd8131-sunglasses/5.jpg
,lv-classic-sunglasses,LV Classic Business Sunglasses,,"$60 LV classic business men's sunglasses, polarized metal full-frame sunshade, trendy new outdoor sport shades",published,http://localhost:9000/static/products/lv-classic-sunglasses/1.jpg,,,,,,,,,,,,TRUE,,,LV Classic Business Sunglasses - One Size,LV-CLASSIC-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,60.00,Size,One Size,http://localhost:9000/static/products/lv-classic-sunglasses/1.jpg,http://localhost:9000/static/products/lv-classic-sunglasses/2.jpg,http://localhost:9000/static/products/lv-classic-sunglasses/3.jpg,http://localhost:9000/static/products/lv-classic-sunglasses/4.jpg,http://localhost:9000/static/products/lv-classic-sunglasses/5.jpg
,ferragamo-sf1092-sunglasses,Salvatore Ferragamo SF1092SLB Sunglasses,,$69 Salvatore Ferragamo MODEL SF1092SLB SIZE 52-19-145,published,http://localhost:9000/static/products/ferragamo-sf1092-sunglasses/1.jpg,,,,,,,,,,,,TRUE,,,Salvatore Ferragamo SF1092SLB Sunglasses - One Size,FERRAGAMO-SF1092-SUNGLASSES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,69.00,Size,One Size,http://localhost:9000/static/products/ferragamo-sf1092-sunglasses/1.jpg,http://localhost:9000/static/products/ferragamo-sf1092-sunglasses/2.jpg,http://localhost:9000/static/products/ferragamo-sf1092-sunglasses/3.jpg,http://localhost:9000/static/products/ferragamo-sf1092-sunglasses/4.jpg,http://localhost:9000/static/products/ferragamo-sf1092-sunglasses/5.jpg
,gucci-retro-horsebit-bag,1955 Gucci Retro Horsebit Bag,,$117 The beautiful 1955 Gucci Retro Horsebit Bag. Retail counter matching high version. Classic Horsebit buckle + Monogram + piping design. Size 25 x 18 cm,published,http://localhost:9000/static/products/gucci-retro-horsebit-bag/1.jpg,,,,,,,,,,,,TRUE,,,1955 Gucci Retro Horsebit Bag - One Size,GUCCI-RETRO-HORSEBIT-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,117.00,Size,One Size,http://localhost:9000/static/products/gucci-retro-horsebit-bag/1.jpg,http://localhost:9000/static/products/gucci-retro-horsebit-bag/2.jpg,http://localhost:9000/static/products/gucci-retro-horsebit-bag/3.jpg,http://localhost:9000/static/products/gucci-retro-horsebit-bag/4.jpg,http://localhost:9000/static/products/gucci-retro-horsebit-bag/5.jpg
,louboutin-red-sole-heels,Christian Louboutin CL Red Sole Shoes,,$119 Christian Louboutin Red Sole Shoes Early Spring Collection. A must-have high heel for every goddess. Heel Height 10cm. Sizes 35-39,published,http://localhost:9000/static/products/louboutin-red-sole-heels/1.jpg,,,,,,,,,,,,TRUE,,,Christian Louboutin CL Red Sole Shoes - One Size,LOUBOUTIN-RED-SOLE-HEELS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,119.00,Size,One Size,http://localhost:9000/static/products/louboutin-red-sole-heels/1.jpg,http://localhost:9000/static/products/louboutin-red-sole-heels/2.jpg,http://localhost:9000/static/products/louboutin-red-sole-heels/3.jpg,http://localhost:9000/static/products/louboutin-red-sole-heels/4.jpg,http://localhost:9000/static/products/louboutin-red-sole-heels/5.jpg
,dior-lady-dlite-bag,DIOR Lady D-Lite Embroidered Bag,,"$159 DIOR Lady D-Lite Embroidered Bag with cross-body strap. Three-dimensional embroidery with over 100,000 stitches. Italian waterproof environmentally friendly canvas. Size 24cm",published,http://localhost:9000/static/products/dior-lady-dlite-bag/1.jpg,,,,,,,,,,,,TRUE,,,DIOR Lady D-Lite Embroidered Bag - One Size,DIOR-LADY-DLITE-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,159.00,Size,One Size,http://localhost:9000/static/products/dior-lady-dlite-bag/1.jpg,http://localhost:9000/static/products/dior-lady-dlite-bag/2.jpg,http://localhost:9000/static/products/dior-lady-dlite-bag/3.jpg,http://localhost:9000/static/products/dior-lady-dlite-bag/4.jpg,http://localhost:9000/static/products/dior-lady-dlite-bag/5.jpg
,gucci-mens-backpack,GUCCI Mens New Backpack,,$107 GUCCI Men's 2025 early spring collection backpack. Double G logo embossed on cowhide with grained texture. Multiple layered pockets plus D-ring for accessories,published,http://localhost:9000/static/products/gucci-mens-backpack/1.jpg,,,,,,,,,,,,TRUE,,,GUCCI Mens New Backpack - One Size,GUCCI-MENS-BACKPACK-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,107.00,Size,One Size,http://localhost:9000/static/products/gucci-mens-backpack/1.jpg,http://localhost:9000/static/products/gucci-mens-backpack/2.jpg,http://localhost:9000/static/products/gucci-mens-backpack/3.jpg,http://localhost:9000/static/products/gucci-mens-backpack/4.jpg,http://localhost:9000/static/products/gucci-mens-backpack/5.jpg
,gucci-miami-slippers,Gucci Miami 2022 Slippers,,$97 Gucci Miami 2022 Summer Macaron Color Thick-soled Slippers. Comfortable and versatile. TU material outsole. Shoe height 4-5CM. Sizes 35-40,published,http://localhost:9000/static/products/gucci-miami-slippers/1.jpg,,,,,,,,,,,,TRUE,,,Gucci Miami 2022 Slippers - One Size,GUCCI-MIAMI-SLIPPERS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,97.00,Size,One Size,http://localhost:9000/static/products/gucci-miami-slippers/1.jpg,http://localhost:9000/static/products/gucci-miami-slippers/2.jpg,http://localhost:9000/static/products/gucci-miami-slippers/3.jpg,http://localhost:9000/static/products/gucci-miami-slippers/4.jpg,http://localhost:9000/static/products/gucci-miami-slippers/5.jpg
,lv-montsouris-backpack,LV Montsouris BB Backpack,,$130 LV Backpack Multi-purpose Bag. The Montsouris BB Backpack introduced Winter 2020. Classic Monogram canvas and calfskin leather,published,http://localhost:9000/static/products/lv-montsouris-backpack/1.jpg,,,,,,,,,,,,TRUE,,,LV Montsouris BB Backpack - One Size,LV-MONTSOURIS-BACKPACK-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,130.00,Size,One Size,http://localhost:9000/static/products/lv-montsouris-backpack/1.jpg,http://localhost:9000/static/products/lv-montsouris-backpack/2.jpg,http://localhost:9000/static/products/lv-montsouris-backpack/3.jpg,http://localhost:9000/static/products/lv-montsouris-backpack/4.jpg,http://localhost:9000/static/products/lv-montsouris-backpack/5.jpg
,lv-pillow-bag,LV Pillow Bag,,LV Pillow Bag - Stylish designer bag,published,http://localhost:9000/static/products/lv-pillow-bag/1.jpg,,,,,,,,,,,,TRUE,,,LV Pillow Bag - One Size,LV-PILLOW-BAG-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,99.00,Size,One Size,http://localhost:9000/static/products/lv-pillow-bag/1.jpg,http://localhost:9000/static/products/lv-pillow-bag/2.jpg,http://localhost:9000/static/products/lv-pillow-bag/3.jpg,http://localhost:9000/static/products/lv-pillow-bag/4.jpg,http://localhost:9000/static/products/lv-pillow-bag/5.jpg
,miumiu-mary-janes,MiuMiu 2022SS Mary Janes,,$118 MiuMiu 2022/SS High version Miu Miu Mary Janes. Patent leather patchwork lambskin lining genuine leather sole. Size 35-39,published,http://localhost:9000/static/products/miumiu-mary-janes/1.jpg,,,,,,,,,,,,TRUE,,,MiuMiu 2022SS Mary Janes - One Size,MIUMIU-MARY-JANES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,118.00,Size,One Size,http://localhost:9000/static/products/miumiu-mary-janes/1.jpg,http://localhost:9000/static/products/miumiu-mary-janes/2.jpg,http://localhost:9000/static/products/miumiu-mary-janes/3.jpg,http://localhost:9000/static/products/miumiu-mary-janes/4.jpg,http://localhost:9000/static/products/miumiu-mary-janes/5.jpg
,adidas-running-shoes,Adidas Adizero Running Shoes,,$57 Company Level Adidas Adizero Goukana. Versatile Comfortable Wear-Resistant Breathable Low-Top Casual Sports Running Shoes. Sizes 36-45,published,http://localhost:9000/static/products/adidas-running-shoes/1.jpg,,,,,,,,,,,,TRUE,,,Adidas Adizero Running Shoes - One Size,ADIDAS-RUNNING-SHOES-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,57.00,Size,One Size,http://localhost:9000/static/products/adidas-running-shoes/1.jpg,http://localhost:9000/static/products/adidas-running-shoes/2.jpg,http://localhost:9000/static/products/adidas-running-shoes/3.jpg,http://localhost:9000/static/products/adidas-running-shoes/4.jpg,http://localhost:9000/static/products/adidas-running-shoes/5.jpg
,nike-air-max-dn,Nike Air Max Dn Running Shoes,,$52 Nike Air Max Dn Comfortable Shock-Absorbing Small Air Cushion Running Shoes. Unisex Ivory White. Size 36-46,published,http://localhost:9000/static/products/nike-air-max-dn/1.jpg,,,,,,,,,,,,TRUE,,,Nike Air Max Dn Running Shoes - One Size,NIKE-AIR-MAX-DN-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,52.00,Size,One Size,http://localhost:9000/static/products/nike-air-max-dn/1.jpg,http://localhost:9000/static/products/nike-air-max-dn/2.jpg,http://localhost:9000/static/products/nike-air-max-dn/3.jpg,http://localhost:9000/static/products/nike-air-max-dn/4.jpg,http://localhost:9000/static/products/nike-air-max-dn/5.jpg
,nike-vomero-18,Nike Air Zoom Vomero 18 GTX,,$55 Nike Air Zoom Vomero 18 GTX. Genuine Zoom cushioning technology. Sizes 36-46,published,http://localhost:9000/static/products/nike-vomero-18/1.jpg,,,,,,,,,,,,TRUE,,,Nike Air Zoom Vomero 18 GTX - One Size,NIKE-VOMERO-18-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,55.00,Size,One Size,http://localhost:9000/static/products/nike-vomero-18/1.jpg,http://localhost:9000/static/products/nike-vomero-18/2.jpg,http://localhost:9000/static/products/nike-vomero-18/3.jpg,http://localhost:9000/static/products/nike-vomero-18/4.jpg,http://localhost:9000/static/products/nike-vomero-18/5.jpg
,valentino-boots,VALENTINO Daigou Level Boots,,$139 VALENTINO Daigou Level boots. Hardware highlights luxury. Imported calfskin leather lining EVE foam sole. Sizes 35-40,published,http://localhost:9000/static/products/valentino-boots/1.jpg,,,,,,,,,,,,TRUE,,,VALENTINO Daigou Level Boots - One Size,VALENTINO-BOOTS-ONE-SIZE,,FALSE,TRUE,,,,,,,,,,139.00,Size,One Size,http://localhost:9000/static/products/valentino-boots/1.jpg,http://localhost:9000/static/products/valentino-boots/2.jpg,http://localhost:9000/static/products/valentino-boots/3.jpg,http://localhost:9000/static/products/valentino-boots/4.jpg,http://localhost:9000/static/products/valentino-boots/5.jpg